242,Skoczów,17-03-07,6191705.90
243,Poddębice,17-03-07,6191705.90
244,Warszawa,20-07-05,6155003.20
245,Jelenia Góra,03-06-17,6095498.60
246,Sochaczew,24-06-17,6056730.90
247,Gorzów Wielkopolski,14-02-08,6025000.20
248,Żyrardów,23-06-07,5962903.50
249,Rybnik,23-06-07,5962903.50
250,Szczecin,26-02-03,5947225.80
251,Wrocław,20-07-02,5935566.90
252,Lidzbark,20-07-02,5935566.90
253,Bydgoszcz,13-06-17,5934325.40
254,Kędzierzyn-Koźle,09-07-15,5872347.20
255,Jedlicze,09-07-15,5872347.20
256,Marki,09-07-15,5872347.20
257,Poznań,12-04-12,5838642.10
258,Domaniewice,25-10-14,5784893.30
259,Malczyce,25-10-14,5784893.30
260,Wyrzysk,07-07-04,5781288.10
261,Poznań,22-11-06,5771450.40
262,Warszawa,04-07-13,5766860.70
263,Jastrzębie-Zdrój,04-07-13,5766860.70
264,Zakopane,04-01-11,5732412.80
265,Kostrzyn nad Odrą,22-03-08,5728934.20
266,Lwówek Śląski,16-02-12,5685721.20
267,Stalowa Wola,08-11-16,5661204.40
268,Stolno,29-06-05,5572890.30
269,Reda,31-12-16,5541886.90
270,Miasteczko Śląskie,31-12-16,5541886.90
271,Włocławek,10-02-07,5517186.10
272,Gdańsk,10-02-07,5517186.10
273,Gdańsk,30-08-08,5479578.70
274,Piaseczno,28-08-04,5473476.30
275,Koszęcin,20-09-07,5464296.70
276,Włocławek,06-07-17,5457400.90
277,Warszawa,31-01-09,5438443.20
278,Konstancin-Jeziorna,12-08-06,5427116.40
279,Olsztyn,13-12-07,5423580.10
280,Wojkowice,31-03-09,5409949.40
281,Kraków,14-02-15,5407690.20
282,Kraków,01-03-08,5396539.20
283,Mielno,07-02-09,5392594.40
284,Gdańsk,31-12-15,5379498.70
285,Chorzów,11-02-10,5375761.60
286,Szczecin,28-02-09,5361359.20
287,Mielec,22-04-08,5354973.00
288,Siedlce,18-02-10,5331769.40
289,Bojano,29-10-05,5330406.20
290,Wrocław,29-10-05,5330406.20
291,Wodzisław Śląski,11-02-17,5320068.10
292,Legionowo,11-02-17,5320068.10
293,Toruń,11-08-12,5254719.20
294,Kędzierzyn-Koźle,07-09-02,5249220.70
295,Tomaszów Mazowiecki,07-01-10,5242005.40
296,Nidzica,20-04-02,5230616.40
297,Rzeszów,06-03-02,5214409.20
298,Pawłowice,02-04-11,5166053.90
299,Słupsk,14-07-12,5153241.60
300,Ełk,11-08-04,5139267.60
301,Trzcianka,01-12-12,5135644.40
302,Żywiec,01-12-12,5135644.40
303,Warszawa,06-04-02,5089562.10
304,Białystok,29-03-08,5083754.40
305,Zbąszyń,17-06-08,5066601.20
306,Łódź,21-09-02,5053301.10
307,Wolin,03-06-08,5017604.60
308,Janowo,01-06-05,4997399.20
309,Łódź,10-06-08,4993436.70
310,Łuków,24-10-09,4989307.30
311,Tczew,24-10-09,4989307.30
312,Warszawa,09-10-02,4981839.90
313,Darłowo,06-04-13,4888977.20
314,Choszczno,28-08-02,4887609.40
315,Cieszyn,04-09-10,4884335.80
316,Kraśnik,29-07-06,4868248.80
317,Leszno,01-07-10,4851205.30
318,Katowice,07-07-12,4824885.30
